event_year,event_name,team_number,team_match_id,team_match_seq,auto_scale_cube,auto_exchange_cube,auto_switch_cube,home_switch_cube,opp_switch_cube,scale_cube,exchange_cube,climb,assist,piggyback_climb_boolean
2018,"Carver Division",1369,9439,9,1,0,0,0,0,3,0,0,0,0
2018,"Carver Division",341,9440,9,1,0,0,0,2,2,0,0,0,0
2018,"Carver Division",1622,9441,9,0,0,1,0,0,3,0,0,0,0
2018,"Carver Division",7111,9442,10,0,0,0,1,4,0,0,0,0,0
2018,"Carver Division",2415,9444,10,0,0,0,0,0,0,0,0,0,0
2018,"Carver Division",6502,9445,19,1,0,0,2,0,0,6,0,0,0
2018,"Carver Division",343,9446,10,0,0,0,0,0,5,0,0,0,0
2018,"Carver Division",342,9447,10,0,0,0,0,3,2,0,0,0,0
2018,"Carver Division",1769,9448,10,0,0,0,0,0,0,6,0,0,0
2018,"Carver Division",3834,9452,10,0,0,0,0,1,0,1,0,0,0
2018,"Carver Division",1414,9500,5,0,0,0,0,0,6,0,0,0,1
2018,"Carver Division",3238,9501,9,0,0,0,1,0,3,5,0,0,0
2018,"Carver Division",5458,9502,5,0,0,0,2,2,0,0,0,0,0
2018,"Carver Division",3834,9504,5,0,0,0,2,0,0,2,0,0,0
2018,"Carver Division",6413,9506,6,0,0,0,1,0,0,1,0,0,0
2018,"Carver Division",4192,9508,6,0,0,0,0,0,7,0,0,0,0
2018,"Carver Division",4501,9511,11,0,0,0,0,2,0,1,0,0,0
2018,"Carver Division",7301,9513,6,0,0,0,2,0,0,4,0,0,0
2018,"Carver Division",1378,9514,6,0,0,0,1,0,0,6,0,0,0
2018,"Carver Division",5458,9515,6,0,0,0,1,6,0,0,0,0,0
2018,"Carver Division",6800,9516,6,0,0,1,2,0,3,0,0,0,0
2018,"Carver Division",744,9517,7,0,0,0,2,0,4,0,0,0,0
2018,"Carver Division",6985,9519,7,0,0,1,1,3,0,0,0,0,0
2018,"Carver Division",4171,9520,7,0,0,1,6,0,0,3,0,0,0
2018,"Carver Division",2556,9521,14,0,0,0,0,1,4,0,0,0,0
2018,"Carver Division",1378,9523,7,0,0,0,1,0,0,9,0,0,1
2018,"Carver Division",108,9524,7,0,0,0,0,0,2,0,0,0,0
2018,"Carver Division",2415,9526,7,0,0,1,0,5,0,0,0,0,0
2018,"Carver Division",3229,9527,7,0,0,0,1,0,0,3,0,0,0
2018,"Carver Division",4795,9528,7,0,0,0,2,0,0,6,0,0,1
2018,"Carver Division",1690,9531,15,1,0,0,0,5,2,0,0,0,0
2018,"Carver Division",5829,9532,8,0,0,0,6,0,0,3,0,0,0
2018,"Carver Division",4795,9534,8,0,0,2,3,4,0,0,0,0,0
2018,"Carver Division",342,9535,8,0,0,1,4,0,1,5,0,0,0
2018,"Carver Division",3145,9537,8,0,0,0,2,0,0,0,0,0,0
2018,"Carver Division",3753,9538,8,0,0,0,2,0,0,3,0,0,0
2018,"Carver Division",2429,9541,8,0,0,1,2,0,0,2,0,0,1
2018,"Carver Division",6502,9543,18,0,0,0,0,0,0,0,0,0,0
2018,"Carver Division",7123,9545,9,0,0,0,0,0,0,4,0,0,0
2018,"Carver Division",7301,9546,9,0,0,0,1,0,0,2,0,0,0
2018,"Carver Division",1769,9547,9,0,0,0,2,1,0,0,0,0,0
2018,"Carver Division",4192,9548,9,0,0,1,1,0,0,0,0,0,1
2018,"Carver Division",5458,9549,9,0,0,0,4,0,0,0,0,0,0
2018,"Carver Division",343,9550,9,0,0,2,0,0,4,0,0,0,0
2018,"Carver Division",2811,9551,1,0,0,1,0,1,5,0,0,0,0
2018,"Carver Division",6985,9552,1,0,0,1,1,0,0,5,0,0,0
2018,"Carver Division",6838,9553,9,0,0,0,0,0,0,3,0,0,0
2018,"Carver Division",418,9554,9,0,0,1,1,0,4,0,0,0,0
2018,"Carver Division",3834,9555,9,0,0,0,0,0,0,5,0,0,0
2018,"Carver Division",5803,9556,10,1,0,0,0,0,1,8,0,0,0
2018,"Carver Division",5026,9557,10,0,0,2,0,0,5,0,0,0,0
2018,"Carver Division",108,9559,10,0,0,0,0,0,5,0,0,0,0
2018,"Carver Division",1410,9560,10,0,0,0,0,0,0,8,0,0,0
2018,"Carver Division",16,9562,10,2,0,0,0,0,8,0,0,0,0
2018,"Carver Division",4795,9563,1,0,0,0,2,0,0,9,0,0,0
2018,"Carver Division",4944,9564,10,0,0,1,3,0,0,5,0,0,0
2018,"Carver Division",7123,9565,10,0,0,0,0,0,0,9,0,0,0
2018,"Carver Division",3132,9566,10,0,0,1,1,0,2,0,0,0,0
2018,"Carver Division",5499,9567,10,0,0,1,0,0,0,9,0,0,0
2018,"Carver Division",1769,9568,11,0,0,1,3,0,0,2,0,0,0
2018,"Carver Division",3991,9569,2,0,0,1,0,0,0,0,0,0,0
2018,"Carver Division",3238,9571,3,0,0,0,0,0,0,4,0,0,1
2018,"Carver Division",580,9572,2,0,0,0,0,0,0,9,0,0,0
2018,"Carver Division",342,9573,2,0,0,0,0,0,0,5,0,0,0
2018,"Carver Division",6800,9574,2,0,0,1,1,2,3,0,0,0,0
2018,"Carver Division",4499,9575,2,0,0,2,4,0,0,4,0,0,1
2018,"Carver Division",4795,9576,2,0,0,1,2,0,0,6,0,0,0
2018,"Carver Division",2152,9578,2,0,0,1,0,1,3,2,0,0,0
2018,"Carver Division",2723,9579,2,0,0,0,2,0,0,8,0,0,0
2018,"Carver Division",4171,9580,2,0,0,0,0,0,0,2,0,0,0
2018,"Carver Division",3145,9581,2,0,0,1,0,4,0,1,0,0,0
2018,"Carver Division",6800,9582,3,0,0,2,0,0,5,3,0,0,0
2018,"Carver Division",5499,9583,3,0,0,1,0,1,0,0,0,0,0
2018,"Carver Division",6502,9587,6,0,0,0,2,0,1,9,0,0,0
2018,"Carver Division",3991,9589,3,0,0,1,0,0,4,0,0,0,0
2018,"Carver Division",2415,9590,3,0,0,1,1,3,0,0,0,0,0
2018,"Carver Division",4306,9591,3,0,0,0,2,0,0,4,0,0,0
2018,"Carver Division",343,9592,3,0,0,2,2,0,2,0,0,0,0
2018,"Carver Division",4499,9593,3,0,0,1,2,0,0,8,0,0,0
2018,"Carver Division",7301,9594,4,0,0,0,0,0,0,1,0,0,0
2018,"Carver Division",1466,9595,4,1,0,0,0,0,1,0,0,0,0
2018,"Carver Division",5829,9596,4,0,0,0,0,0,0,7,0,0,0
2018,"Carver Division",4501,9599,1,0,0,1,0,3,0,0,0,0,0
2018,"Carver Division",4499,9600,4,0,0,2,0,4,0,2,0,0,0
2018,"Carver Division",6846,9602,4,0,0,0,0,4,0,0,0,0,0
2018,"Carver Division",6985,9603,4,0,0,0,3,0,0,1,0,0,0
2018,"Carver Division",3753,9604,4,0,0,0,0,3,1,0,0,0,0
2018,"Carver Division",6902,9605,4,0,0,1,2,0,0,0,0,0,0
2018,"Carver Division",4911,9606,9,1,0,0,4,0,2,0,0,0,0
2018,"Carver Division",2811,9607,5,0,0,1,1,0,6,0,0,0,1
2018,"Carver Division",6413,9608,5,0,0,1,5,0,0,3,0,0,0
2018,"Carver Division",3145,9610,1,0,0,0,0,1,1,0,0,0,0
2018,"Carver Division",175,9611,5,0,0,1,0,0,4,3,0,0,0
2018,"Carver Division",6902,9613,5,0,0,0,0,0,0,3,0,0,0
2018,"Carver Division",342,9615,5,1,0,0,0,1,4,0,0,0,0
2018,"Carver Division",4013,9617,5,0,0,0,2,0,0,0,0,0,0
2018,"Carver Division",1769,9618,5,0,0,0,1,0,0,0,0,0,0
2018,"Carver Division",4171,9619,6,0,0,0,1,1,0,0,0,0,0
2018,"Carver Division",3753,9620,6,0,0,0,0,4,1,0,0,0,0
2018,"Carver Division",5458,9621,1,0,0,1,4,2,0,5,0,0,0
2018,"Carver Division",5499,9622,6,0,0,1,0,3,0,5,0,0,0
2018,"Carver Division",6838,9624,6,0,0,0,0,0,0,2,0,0,0
2018,"Carver Division",6838,9633,7,0,0,0,1,0,0,3,0,0,0
2018,"Carver Division",343,9634,7,0,0,2,0,0,4,0,0,0,0
2018,"Carver Division",3991,9635,7,0,0,1,2,2,0,6,0,0,0
2018,"Carver Division",7301,9636,7,0,0,0,1,0,0,6,0,0,0
2018,"Carver Division",6800,9638,7,0,0,1,0,0,4,1,0,0,0
2018,"Carver Division",4306,9640,7,0,0,0,2,0,0,9,0,0,0
2018,"Carver Division",3753,9641,7,0,0,0,2,0,0,0,0,0,0
2018,"Carver Division",932,9643,1,0,0,0,0,4,0,0,0,0,0
2018,"Carver Division",1369,9645,8,0,0,0,2,0,4,0,0,0,0
2018,"Carver Division",2723,9646,8,0,0,0,0,5,0,0,0,0,0
2018,"Carver Division",2415,9647,8,0,0,1,2,0,0,9,0,0,0
2018,"Carver Division",7123,9648,8,0,0,0,1,0,0,9,0,0,0
2018,"Carver Division",341,9649,8,1,0,0,1,3,3,0,0,0,0
2018,"Carver Division",2928,9650,8,0,0,0,0,1,4,0,0,0,0
2018,"Carver Division",175,9651,8,0,0,1,4,0,3,0,0,0,0
