,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Aggregate,,,,,,,,,,,,,Auto,,,,,,,,,Switch/Scale,,,,,,,,Vault,,,,,,,,,,Endgame,,,,,,,,Miscellaneous,,,,,,,Awards,,,,,,,,,,,,,,,,,,,
team Number,nickname,home Championship,event,Week,winning Margin Elo,total Points,winning Margin,ranking Points,auto Points,teleop Excluding Endgame Points,endgame Points,auto Elo Points,scale Elo Points,switch and Scale Elo Points,win,opponent Switch Deactivated Seconds,placeholder,auto Run Points,auto Run Rate,auto Switch Ownership Seconds,auto Switch At Zero,auto Scale Ownership Seconds,auto Scale Ownership Margin,auto Ownership Points,auto Ownership Points Margin,auto Quest Ranking Point,teleop Switch Ownership Seconds,teleop Switch Force Seconds,teleop Switch Boost Seconds,teleop Scale Ownership Seconds,teleop Scale Force Seconds,teleop Scale Boost Seconds,teleop Ownership Points,teleop Ownership Points Margin,vault Force Played,vault Force Total,average Force Efficiency,vault Levitate Played,vault Levitate Total,average Levitate Efficiency,vault Boost Played,vault Boost Total,average Boost Efficiency,vault Points,parking Points,climbing Points,levitate Points,climb Rate,adjusted Levitate Rate,adjusted Climb Or Levitate Rate,adjusted Individual Endgame Points,face The Boss Ranking Point,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,tba Ranking Points Earned,Chairman's Strength (mCA),,,,,,,,,,,,,,,,,,,
1,The Juggernauts,Detroit,FIM District Waterford Event,2,1604,95.18,58.45,0.71,3.50,91.37,2.63,-1.00,-1.00,-1.00,0.33,10.48,-1.00,4.52,0.93,-0.64,0.05,0.13,0.24,-1.03,-3.91,0.14,31.07,-0.49,-0.15,52.89,-1.11,1.16,84.97,63.10,-0.29,-0.18,0.30,0.63,0.95,0.24,0.26,0.51,0.10,6.40,3.95,-7.58,6.26,0.07,0.25,0.32,12.86,-0.04,-0.06,-0.07,0.02,-0.08,0.20,-2.32,-1.00,1895,,,,,,,,,,,,,,,,,,,
1,The Juggernauts,Detroit,FIM District Kettering University Event #1,1,1508,96.03,6.44,0.50,5.87,80.19,6.06,-1.00,-1.00,-1.00,0.33,-0.80,-1.00,4.32,0.79,0.83,0.07,-0.06,-0.01,1.56,-1.79,0.04,39.74,-0.03,1.07,34.69,-0.22,1.01,76.52,24.34,-0.07,-0.15,0.34,0.36,0.49,0.21,0.27,0.40,0.29,3.68,1.95,0.47,3.64,0.00,0.26,0.26,9.29,-0.01,-0.12,0.20,0.36,0.12,8.30,3.90,-1.00,1895,,,,,,,,,,,,,,,,,,,
4,Team 4 ELEMENT,Houston,Las Vegas Regional,4,1583,145.41,36.90,0.64,11.61,108.39,12.26,-1.00,-1.00,-1.00,0.27,3.96,-1.00,4.26,1.00,3.43,0.46,0.25,0.62,7.36,3.23,0.22,50.76,3.42,1.44,35.00,2.33,4.38,91.59,33.16,0.92,1.00,0.27,1.08,1.29,0.25,0.96,1.07,0.17,16.80,4.04,-2.84,11.06,0.19,0.27,0.46,16.25,-0.05,-0.04,0.59,0.53,0.41,13.04,13.15,-1.00,1074,,,,,,,,,,,,,,,,,,,
4,Team 4 ELEMENT,Houston,Los Angeles Regional,3,1531,131.18,43.02,0.33,2.83,89.10,21.47,-1.00,-1.00,-1.00,0.53,0.37,-1.00,2.61,0.71,0.27,0.03,-0.16,-0.19,0.22,-5.59,-0.03,38.84,1.37,-0.71,36.97,1.48,1.56,76.67,24.81,0.42,0.65,0.18,1.42,1.34,0.37,0.38,0.49,0.20,12.43,3.81,3.48,14.19,0.07,0.21,0.29,12.50,0.13,0.19,1.75,0.15,0.36,4.65,17.77,-1.00,1074,,,,,,,,,,,,,,,,,,,
8,Paly Robotics,Houston,Silicon Valley Regional,5,1623,167.21,113.55,1.04,17.00,117.35,11.62,-1.00,-1.00,-1.00,0.43,-0.91,-1.00,5.11,1.00,4.74,0.46,1.20,2.00,11.89,4.06,0.32,41.83,1.31,2.63,63.50,-2.19,3.70,111.65,88.71,-0.08,-0.06,0.10,0.43,0.37,0.31,0.92,0.82,0.26,5.69,4.61,2.72,4.29,0.08,0.23,0.31,12.31,-0.02,0.19,-0.28,-0.49,0.91,-11.28,21.25,-1.00,2528,,,,,,,,,,,,,,,,,,,
8,Paly Robotics,Houston,Arizona North Regional,2,1608,136.83,66.79,1.31,17.58,104.82,10.29,-1.00,-1.00,-1.00,0.17,29.74,-1.00,5.17,0.82,5.72,0.63,0.48,-0.13,12.41,8.59,0.64,51.78,-2.12,1.92,41.77,-0.44,3.14,98.62,86.26,-0.17,0.20,-0.05,0.36,0.38,0.27,0.82,0.66,0.32,6.20,0.27,6.43,3.59,0.00,0.24,0.24,9.55,0.04,0.30,0.21,0.69,0.12,18.83,4.14,-1.00,2528,,,,,,,,,,,,,,,,,,,
11,MORT,Detroit,FIRST Mid-Atlantic District Championship,6,1520,76.14,-72.54,0.21,5.95,50.25,11.76,-1.00,-1.00,-1.00,0.34,7.49,-1.00,4.79,0.92,1.90,0.22,-1.32,-3.98,1.16,2.61,0.26,40.74,2.06,3.82,-7.10,5.13,1.43,38.90,-52.85,1.21,1.24,0.33,0.11,0.25,0.28,0.30,0.78,0.24,11.36,1.72,8.54,1.49,0.17,0.24,0.40,14.17,-0.03,-0.10,0.55,-0.12,0.22,-3.51,8.19,-1.00,,,,,,,,,,,,,,,,,,,,
11,MORT,Detroit,MAR District Montgomery Event,4,1580,116.39,26.79,0.56,7.87,70.40,14.04,-1.00,-1.00,-1.00,0.35,16.73,-1.00,4.60,0.93,2.21,0.20,-0.58,-1.29,3.27,2.53,0.08,41.67,2.69,4.48,8.91,4.14,1.13,56.19,-2.26,1.06,1.00,0.34,1.03,0.95,0.36,0.60,0.90,0.24,14.21,2.60,1.31,10.13,0.00,0.38,0.38,13.21,0.04,0.13,0.24,-0.19,0.91,-4.05,24.06,-1.00,-75953,,,,,,,,,,,,,,,,,,,
11,MORT,Detroit,MAR District Mount Olive Event,2,1529,78.52,-4.87,-0.08,1.24,50.82,15.53,-1.00,-1.00,-1.00,0.43,14.73,-1.00,2.83,0.64,-0.30,-0.10,-0.50,-0.16,-1.59,0.03,-0.15,22.74,1.24,1.22,14.35,2.29,1.91,40.22,-11.86,0.56,0.68,0.24,0.79,0.83,0.24,0.54,0.62,0.25,10.60,1.98,5.61,7.94,0.00,0.23,0.23,9.64,0.00,1.21,0.86,-0.27,0.27,-0.61,10.92,-1.00,-75953,,,,,,,,,,,,,,,,,,,
