event_year,event_name,team_number,team_match_id,team_match_seq,auto_scale_cube,auto_exchange_cube,auto_switch_cube,home_switch_cube,opp_switch_cube,scale_cube,exchange_cube,climb,assist,piggyback_climb_boolean
2018,"Pacific Northwest District Championship",5920,8483,9,0,0,0,0,0,0,8,0,0,1
2018,"Pacific Northwest District Championship",4061,8485,9,0,0,1,1,6,0,0,0,0,0
2018,"Pacific Northwest District Championship",2521,8031,1,0,0,0,2,0,3,0,0,0,0
2018,"Pacific Northwest District Championship",2930,8609,9,0,0,1,0,3,4,0,0,0,0
2018,"Pacific Northwest District Championship",3663,8487,9,0,0,1,0,0,5,1,0,0,0
2018,"Pacific Northwest District Championship",4125,8489,9,0,0,0,0,0,1,6,0,0,0
2018,"Pacific Northwest District Championship",2374,8613,9,1,0,0,0,0,5,0,0,0,0
2018,"Pacific Northwest District Championship",2944,8461,3,0,0,0,0,1,0,0,0,0,0
2018,"Pacific Northwest District Championship",488,8615,9,0,0,0,0,1,3,0,0,0,0
2018,"Pacific Northwest District Championship",6443,8463,3,0,0,0,3,0,4,0,0,0,0
2018,"Pacific Northwest District Championship",4980,8617,5,0,0,1,0,0,5,0,0,0,0
2018,"Pacific Northwest District Championship",2944,8619,5,0,0,1,0,0,3,0,0,0,0
2018,"Pacific Northwest District Championship",488,8467,6,0,0,1,0,0,5,1,0,0,0
2018,"Pacific Northwest District Championship",1778,8043,2,0,0,1,0,9,0,1,0,0,0
2018,"Pacific Northwest District Championship",5468,8621,11,2,0,0,0,2,10,0,0,0,0
2018,"Pacific Northwest District Championship",2605,8469,3,0,0,1,1,0,0,8,0,0,0
2018,"Pacific Northwest District Championship",948,8471,7,0,0,0,0,0,4,0,0,0,0
2018,"Pacific Northwest District Championship",3024,8193,3,0,0,1,2,0,0,5,0,0,0
2018,"Pacific Northwest District Championship",2733,8625,6,0,0,0,2,0,1,0,0,0,0
2018,"Pacific Northwest District Championship",3711,8473,7,0,0,1,0,0,1,6,0,0,0
2018,"Pacific Northwest District Championship",6445,8475,7,0,0,0,2,1,1,7,0,0,1
2018,"Pacific Northwest District Championship",1318,8197,4,1,0,0,0,5,2,0,0,0,0
2018,"Pacific Northwest District Championship",1983,8629,6,0,0,1,1,0,5,0,0,0,0
2018,"Pacific Northwest District Championship",3663,8199,1,0,0,1,0,0,3,0,0,0,0
2018,"Pacific Northwest District Championship",3024,8631,12,0,0,1,2,0,0,4,0,0,0
2018,"Pacific Northwest District Championship",2522,8479,4,0,0,2,0,4,3,0,0,0,0
2018,"Pacific Northwest District Championship",5803,8633,13,0,0,1,1,0,3,3,0,0,0
