event_year,event_name,team_number,team_match_id,team_match_seq,auto_scale_cube,auto_exchange_cube,auto_switch_cube,home_switch_cube,opp_switch_cube,scale_cube,exchange_cube,climb,assist,piggyback_climb_boolean
2018,"Pacific Northwest District Championship",1359,8601,4,0,0,0,0,0,2,0,0,0,0
2018,"Pacific Northwest District Championship",2635,8147,9,0,0,0,0,0,3,0,0,0,0
2018,"Pacific Northwest District Championship",1983,7911,10,0,0,1,0,0,5,0,0,0,0
2018,"Pacific Northwest District Championship",5803,8603,7,0,0,0,0,8,4,0,0,0,0
2018,"Pacific Northwest District Championship",4131,8149,17,0,0,0,0,4,0,1,0,0,0
2018,"Pacific Northwest District Championship",2557,8605,1,0,0,0,1,0,2,1,0,0,0
2018,"Pacific Northwest District Championship",2976,8151,9,0,0,1,3,5,0,1,0,0,0
2018,"Pacific Northwest District Championship",5803,8153,18,0,0,1,1,0,2,0,0,0,0
2018,"Pacific Northwest District Championship",1359,8299,1,0,0,0,0,4,0,0,0,0,0
2018,"Pacific Northwest District Championship",2811,8579,4,0,0,1,0,3,2,0,0,0,0
2018,"Pacific Northwest District Championship",6445,8157,19,0,0,0,3,0,0,5,0,0,1
2018,"Pacific Northwest District Championship",3674,8159,1,1,0,0,1,0,0,8,0,0,1
2018,"Pacific Northwest District Championship",3238,8585,4,0,0,1,0,0,2,0,0,0,0
2018,"Pacific Northwest District Championship",5920,8589,5,0,0,1,0,0,0,5,0,0,0
2018,"Pacific Northwest District Championship",4915,8591,5,0,0,0,1,0,1,1,0,0,0
2018,"Pacific Northwest District Championship",4061,8593,6,0,0,0,4,1,0,0,0,0,1
2018,"Pacific Northwest District Championship",4512,8595,3,0,0,0,1,0,0,6,0,0,0
2018,"Pacific Northwest District Championship",6845,8287,1,0,0,0,1,5,0,0,0,0,1
2018,"Pacific Northwest District Championship",2557,8597,6,1,0,0,2,6,2,0,0,0,0
2018,"Pacific Northwest District Championship",5803,8143,16,0,0,0,0,0,2,0,0,0,0
2018,"Pacific Northwest District Championship",2976,7937,2,0,0,1,1,6,0,0,0,0,0
2018,"Pacific Northwest District Championship",3024,7998,1,0,0,0,0,0,0,4,0,0,0
2018,"Pacific Northwest District Championship",1510,8000,7,0,0,0,1,4,0,2,0,0,0
