Team,Final Score,adjust Points,auto Ownership Points,auto Points,auto Quest Ranking Point,auto Run Points,auto Scale Ownership Sec,auto Switch At Zero,auto Switch Ownership Sec,endgame Points,face The Boss Ranking Point,foul Count,foul Points,rp,tech Foul Count,teleop Ownership Points,teleop Points,teleop Scale Boost Sec,teleop Scale Force Sec,teleop Scale Ownership Sec,teleop Switch Boost Sec,teleop Switch Force Sec,teleop Switch Ownership Sec,total Points,vault Boost Played,vault Boost Total,vault Force Played,vault Force Total,vault Levitate Played,vault Levitate Total,vault Points
1,94.7947256088,0,0.0881635818,4.549309669,0.0805550115,4.4611460872,0.0438349164,0.0527647524,0.0002468745,4.39964374,-0.0449458541,-0.0597802181,2.1678897277,0.5827774361,0.1724858676,78.2202341858,88.0786129828,1.0941448973,-0.3606907418,42.1207890249,0.2449745546,-0.2201405487,34.7603257091,94.7947256088,0.273615905,0.4727126566,-0.146672958,-0.1334409106,0.5348416983,0.7524752654,5.458735057
4,140.5503152315,0,4.5624482509,8.2606638412,0.1346731318,3.6982155903,0.1240271282,0.2757379309,2.1571969973,15.7665176669,0.0266058848,-0.0882253002,15.3695971045,0.5533240524,0.4057189957,86.7468504161,116.9192996468,3.3217500107,1.9931454284,38.0368601593,0.4915525928,2.7554766468,44.8966876534,140.5503152315,0.7464994649,0.8371856494,0.7136707592,0.8653240373,1.0660738728,1.178676626,14.4059315637
8,152.8351737467,0,12.1576049502,16.9762090042,0.4270410201,4.818604054,0.8060301055,0.5478818845,5.2727723696,9.2721305257,0.0083952122,0.1086831305,12.8004730782,1.16321717,0.1295861763,108.0676222993,123.0528083334,3.5973392573,-0.9928562923,53.6052736455,2.1646459367,-0.212755577,48.7003634598,152.8351737467,0.8510242034,0.718429217,-0.0777576934,0.0822587525,0.289202005,0.3419231322,5.7130555084
11,94.7846387397,0,0.1022533292,3.5604226708,-0.0366507403,3.4581693416,-0.3312361116,-0.0059867823,0.3823627761,14.1244728332,-0.0043678226,0.9184629208,15.3873063522,0.2287355759,-0.1841854682,50.5861190066,75.8308362235,1.4333454737,2.435004417,12.7509999195,2.7447710025,1.0112833149,33.6570026108,94.7846387397,0.5250335778,0.6650498841,0.5725798267,0.5945207993,0.9727937422,0.9644781933,11.1202443837
16,184.5851633107,0,11.2754357646,17.2370372768,0.5281453861,5.9616015123,-0.4734677515,0.5909500373,6.1111856338,34.0814521486,0.2611833547,-0.0114744178,14.1631037265,1.4375374904,-0.0179826044,107.893127715,153.1736612755,2.7405248829,-0.294636343,40.6399955358,2.4301286268,-0.1754468345,62.0824786695,184.5851633107,0.7464285003,1.1157810485,-0.1053229808,-0.1713132874,1.4249235741,1.2953485213,11.1990814119
20,133.9379848434,0,9.6847397312,13.7951817062,0.212001778,4.1104419749,1.1086460322,0.380653008,3.7337238334,14.404221011,-0.0271796335,0.2547854423,17.0688581767,0.7955909163,0.0528516949,81.6426346204,103.0744154336,1.7079827345,-1.5197691838,43.6103908691,-0.541408193,-0.2235841554,36.8656692098,133.9379848434,0.1436636841,0.2870990329,-0.2317205432,0.0174256464,1.0075709942,1.1009872812,7.0275598021
21,114.881737918,0,3.5740446555,8.8615561394,0.1512515639,5.2875114839,0.3615250716,0.2854206305,1.4254972561,29.265657583,0.0079495607,0.5842459191,0.2482225817,0.6146595536,-0.3650876183,70.1785790962,105.7745751778,0.7632236551,0.790614563,32.8444684357,0.649227521,0.2482575354,35.9216594844,114.881737918,0.1135013419,0.1591961987,0.1355750612,0.2054179645,0.7451771686,0.9014535366,6.3303384987
23,107.4023027949,0,2.4269725669,7.4964979136,0.1575628128,5.0695253467,0.3563460246,0.1898374308,0.8571402588,18.3644275724,0.005481866,0.1391037818,6.4340322605,0.7198502891,0.0770628257,70.9770599852,93.4705777718,0.629919705,0.7215579942,29.5623668849,0.6418148011,-1.0711738743,40.1429585942,107.4023027949,0.2469836887,0.1837679078,-0.0218109406,0.0517900255,0.6158975677,0.5902601096,4.1290902143
25,183.2623832576,0,12.7522556976,18.2150452366,0.5208120115,5.462789539,1.1354156964,0.5390694346,5.2407121524,21.021161629,0.1118143829,0.0937047076,7.2943409083,1.6591259568,0.2839143908,118.1527864447,157.7511388769,5.3507866526,3.0390048836,55.7268603697,4.0951113953,0.8722827626,52.9800280271,183.2623832576,1.5850386411,1.6006084929,0.761511331,0.9392900026,1.2089632305,1.1755396652,18.5771908032
27,149.2420346071,0,11.4349495589,16.6685371724,0.3769473101,5.2335876135,1.3633471568,0.4269253855,4.3541276227,27.7994202513,0.1948491914,0.1800400149,6.3233322402,1.2269900541,-0.0215824604,88.9721480291,126.2457808637,1.0368585777,0.8385807458,42.8016747888,1.271369027,0.5892524986,43.8622456356,149.2420346071,0.4284995421,0.420214368,0.2681965335,0.4627372193,0.8991711716,1.0118909294,9.4742125833
