event_year,event_name,team_number,team_match_id,team_match_seq,auto_scale_cube,auto_exchange_cube,auto_switch_cube,home_switch_cube,opp_switch_cube,scale_cube,exchange_cube,climb,assist,piggyback_climb_boolean
2018,"PNW District Auburn Mountainview Event",1258,7602,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
2018,"PNW District Auburn Mountainview Event",1258,7461,2,0,0,0,0,0,0,7,0,0,0
2018,"PNW District Auburn Mountainview Event",1258,7609,3,0,0,1,0,0,0,9,0,0,0
2018,"PNW District Auburn Mountainview Event",1258,7544,4,0,0,0,0,0,0,0,0,0,0
2018,"PNW District Auburn Mountainview Event",1258,7689,5,0,0,0,1,0,0,3,0,0,0
2018,"PNW District Auburn Mountainview Event",1258,7698,6,0,0,0,2,1,0,0,0,0,0
2018,"PNW District Auburn Mountainview Event",1258,7631,7,0,0,0,0,0,0,7,0,0,0
2018,"PNW District Auburn Mountainview Event",1258,7709,8,0,0,0,1,0,0,4,0,0,0
2018,"PNW District Auburn Mountainview Event",1258,7574,9,0,0,0,0,0,0,7,0,0,0
2018,"PNW District Auburn Mountainview Event",1258,7795,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
2018,"PNW District Auburn Mountainview Event",1258,7588,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
2018,"PNW District Auburn Mountainview Event",1258,7529,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
2018,"PNW District Auburn Mountainview Event",1318,7576,1,0,0,1,0,2,5,0,1,0,0
2018,"PNW District Auburn Mountainview Event",1318,7533,2,0,0,2,0,0,5,0,0,0,0
2018,"PNW District Auburn Mountainview Event",1318,7679,3,0,0,2,0,0,4,0,1,0,0
2018,"PNW District Auburn Mountainview Event",1318,7686,4,0,0,0,0,0,5,0,1,0,0
2018,"PNW District Auburn Mountainview Event",1318,7478,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
2018,"PNW District Auburn Mountainview Event",1318,7417,6,0,0,0,1,2,1,0,1,0,0
2018,"PNW District Auburn Mountainview Event",1318,7566,7,0,0,1,0,0,3,0,0,0,0
2018,"PNW District Auburn Mountainview Event",1318,7433,8,0,0,0,2,0,3,0,1,0,0
2018,"PNW District Auburn Mountainview Event",1318,7437,9,0,0,1,0,0,4,0,1,0,0
2018,"PNW District Auburn Mountainview Event",1318,7794,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
2018,"PNW District Auburn Mountainview Event",1318,7658,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
2018,"PNW District Auburn Mountainview Event",1318,7669,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
